Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
Matchbox Twenty - She'S So Mean (Lyric Video),She's So Mean,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=Kf6jNeCQv2k,Lyric,1,0,0,0,0,0,Kf6jNeCQv2k,0.0,0.0,Matchbox Twenty,238
Matchbox Twenty - She'S So Mean (Official Video),She's So Mean,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=-8WLa6umgdw,Video,0,1,0,0,0,0,-8WLa6umgdw,0.0,0.0,Matchbox Twenty,241
Matchbox Twenty - These Hard Times (Official Video),These Hard Times,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=zMCx9Pu3rKY,Video,0,1,0,0,0,0,zMCx9Pu3rKY,0.0,0.0,Matchbox Twenty,228
Matchbox Twenty - Unwell (Official Video),Unwell,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=WziA88-n02k,Video,0,1,0,0,0,0,WziA88-n02k,0.0,0.0,Matchbox Twenty,228
Tiësto - Wasted Ft. Matthew Koma (Official Music Video),Wasted,Matthew Koma,Tiësto,,,,https://www.youtube.com/watch?v=AmEIemQfk34,Video,0,1,0,0,0,0,AmEIemQfk34,0.0,0.0,Tiestovevo,200
5 Colours In Her Hair Lyrics,5 Colours In Her Hair,Mcfly,,,,,https://www.youtube.com/watch?v=Ow44zhJfZg0,Lyric,1,0,0,0,0,0,Ow44zhJfZg0,0.0,0.0,Krazykayleigh979,180
Meat Loaf - Bat Out Of Hell (Lyrics),Bat Out Of Hell,Meat Loaf,,,,,https://www.youtube.com/watch?v=JwDYGdeYjn4,Lyric,1,0,0,0,0,0,JwDYGdeYjn4,0.0,0.0,080062Wicked,594
Meat Loaf I Would Do Anything For Love Lyrics,I Would Do Anything For Love,Meat Loaf,,,,,https://www.youtube.com/watch?v=srEe6K34DVo,Lyric,1,0,0,0,0,0,srEe6K34DVo,0.0,0.0,Kendall Ward,314
Meatloaf - It'S All Coming Back To Me Now With Lyrics,It's All Coming Back To Me Now,Meat Loaf,,,,,https://www.youtube.com/watch?v=x8xTZIOAPhs,Lyric,1,0,0,0,0,0,x8xTZIOAPhs,0.0,0.0,Ilse Van Aalst,361
You Took The Words Right Out Of My Mouth  (W/Lyrics)  ~  Meat Loaf,You Took The Words Right Out Of My Mouth,Meat Loaf,,,,,https://www.youtube.com/watch?v=j04VQthbV0s,Lyric,1,0,0,0,0,0,j04VQthbV0s,0.0,0.0,𝔇𝔢𝔫𝔦𝔰𝔢,301
"Ariana Grande - 34+35 (Remix / Lyric Video) Ft. Doja Cat, Megan Thee Stallion",34 35 Remix,Megan Thee Stallion,Ariana Grande,Doja Cat,Doja Cat,,https://www.youtube.com/watch?v=4yf-PZDQ_34,Lyric,1,0,0,0,1,0,4yf-PZDQ_34,0.0,0.0,Arianagrandevevo,180
Ariana Grande - 34+35 Remix (Feat. Doja Cat And Megan Thee Stallion) (Official Video),34 35 Remix And,Megan Thee Stallion,Ariana Grande,Doja Cat,Doja Cat,,https://www.youtube.com/watch?v=ssq6X6alZ3w,Video,0,1,0,0,1,0,ssq6X6alZ3w,0.0,0.0,Arianagrandevevo,243
Meghan Trainor - All About That Bass,All About That Bass,Meghan Trainor,,,,,https://www.youtube.com/watch?v=7PCkvCPvDXk,Lyric,1,0,0,0,0,0,7PCkvCPvDXk,0.0,0.0,Meghantrainorvevo,190
Mel & Kim - Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,Mel & Kim,,,,,https://www.youtube.com/watch?v=hdnaPAJgAQI,Lyric,1,0,0,0,0,0,hdnaPAJgAQI,0.0,0.0,Melandkim,230
Merexmobb - Slide With Me (Lyrics) 🎵,B Slide With Me,MerexMob,,,,,https://www.youtube.com/watch?v=hhFvI3dL8r4,Lyric,1,0,0,0,0,0,hhFvI3dL8r4,0.0,0.0,Dopelyrics,212
Metallica - Enter Sandman Lyrics,Enter Sandman,Metallica,,,,,https://www.youtube.com/watch?v=1ixKdkMWzFA,Lyric,1,0,0,0,0,0,1ixKdkMWzFA,0.0,0.0,Mrlyricsmo3,327
Metallica - Fade To Black Lyrics,Fade To Black,Metallica,,,,,https://www.youtube.com/watch?v=wpq7wn2YPYU,Lyric,1,0,0,0,0,0,wpq7wn2YPYU,0.0,0.0,Evouzzzz,415
Metallica-Master Of Puppets (Lyrics),Master Of Puppets,Metallica,,,,,https://www.youtube.com/watch?v=xnKhsTXoKCI,Lyric,1,0,0,0,0,0,xnKhsTXoKCI,0.0,0.0,Motherrussiamr,517
Metallica - Nothing Else Matter Lyrics,Nothing Else Matter,Metallica,,,,,https://www.youtube.com/watch?v=x7bIbVlIqEc,Lyric,1,0,0,0,0,0,x7bIbVlIqEc,0.0,0.0,Yeftearcade,397
Metallica - One (Full Lyrics),One Full,Metallica,,,,,https://www.youtube.com/watch?v=aSNJ00iAZ7I,Lyric,1,0,0,0,0,0,aSNJ00iAZ7I,0.0,0.0,Guitarkid1034,427
Metallica - Sad But True Lyrics (Hd),Sad But True,Metallica,,,,,https://www.youtube.com/watch?v=O_4OfD-wmGs,Lyric,1,0,0,0,0,0,O_4OfD-wmGs,0.0,0.0,Josh Parisi,325
Metallica So Fucking What,So Fucking What,Metallica,,,,,https://www.youtube.com/watch?v=irf3SSRKGUg,Lyric,1,0,0,0,0,0,irf3SSRKGUg,0.0,0.0,Theizzraeel,185
Metallica - The Day That Never Comes,The Day That Never Comes,Metallica,,,,,https://www.youtube.com/watch?v=YinYm4mbpvQ,Lyric,1,0,0,0,0,0,YinYm4mbpvQ,0.0,0.0,Eric T.,478
Metallica The Unforgiven Lyrics,The Unforgiven,Metallica,,,,,https://www.youtube.com/watch?v=mTwjUE60HG4,Lyric,1,0,0,0,0,0,mTwjUE60HG4,0.0,0.0,Themida Ipsilanti,387
Metallica - Welcome Home (Sanitarium) (Lyrics),Welcome Home Sanitarium,Metallica,,,,,https://www.youtube.com/watch?v=_5vbUZmkhDk,Lyric,1,0,0,0,0,0,_5vbUZmkhDk,0.0,0.0,Threelions,388
Mgmt- Kids,Kids,Mgmt,,,,,https://www.youtube.com/watch?v=w7JthgTMHDU,Lyric,1,0,0,0,0,0,w7JthgTMHDU,0.0,0.0,Arnetto,328
"Miami Dolphins Cheerleaders ""Call Me Maybe"" By Carly Rae",Call Me Maybe Cover,Miami Dolphins Cheerleaders,Carly Rae Jepson,,,,https://www.youtube.com/watch?v=FIfbghHdG1s,Lyric,1,0,0,0,0,0,FIfbghHdG1s,0.0,0.0,Finsproductions,211
"Miami Dolphins Cheerleaders ""Fantasy""",Fantasy,Miami Dolphins Cheerleaders,,,,,https://www.youtube.com/watch?v=xs6oSJsR3BM,Video,0,1,0,0,0,0,xs6oSJsR3BM,0.0,0.0,Finsproductions,201
Jack Sparrow (Feat. Michael Bolton),Jack Sparrow,Michael Bolton,The Lonely Island,,,,https://www.youtube.com/watch?v=GI6CfKcMhjY,Lyric,1,0,0,0,0,0,GI6CfKcMhjY,0.0,0.0,Thelonelyisland,197
Michael Buble -  Haven'T Met You Yet (Lyrics),Haven't Met You Yet,Michael Buble,,,,,https://www.youtube.com/watch?v=oBpvsSeBh54,Lyric,1,0,0,0,0,0,oBpvsSeBh54,0.0,0.0,Lolorolopolomint,245
